,CAFs,Cancer Epithelial,Myeloid,Normal Epithelial,T-cells
0,DCN,SCGB2A2,C1QB,KRT14,CCL5
1,COL1A1,CD24,LYZ,KRT17,IL7R
2,LUM,MUCL1,C1QA,LTF,GNLY
3,COL1A2,KRT19,C1QC,KRT15,NKG7
4,SFRP2,SCGB1D2,TYROBP,PTN,CD3E
5,COL3A1,PIP,APOE,MGP,CCL4
6,APOD,S100A8,SPP1,TACSTD2,CXCR4
7,POSTN,AGR2,APOC1,MMP7,CD69
8,CTHRC1,CALML5,FCER1G,SCGB3A1,CD7
9,MMP11,AZGP1,HLA-DRA,KRT5,CD3D
10,COL6A3,KRT18,AIF1,CRYAB,CD2
11,CTGF,ELF3,CXCL8,CXCL2,IL32
12,CTSK,S100A14,CD68,SAA1,RGCC
13,C1S,MGST1,HLA-DPA1,CLDN4,GZMA
14,COL6A2,S100A9,MS4A6A,WFDC2,TNFAIP3
15,FN1,S100A7,HLA-DPB1,MYLK,PTPRC
16,CCDC80,CLDN3,HLA-DRB1,TM4SF1,CD52
17,SPARC,CLDN4,CTSB,SFRP1,IFNG
18,RARRES2,SPINT2,HLA-DRB5,AZGP1,DUSP2
19,CXCL14,KRT7,CCL3,DST,CST7
20,COL6A1,KRT8,HLA-DQA1,KRT8,XCL1
21,SFRP4,AGR3,CD74,CSRP1,TRAC
22,AEBP1,SCGB2A1,IL1B,ACTG2,TRBC2
23,BGN,FXYD3,GPX1,MT1X,KLRB1
24,PTGDS,SLC39A6,HLA-DQB1,KRT7,LTB
25,SERPINF1,ANKRD30A,G0S2,TAGLN,CYTIP
26,MMP2,COX6C,CD14,CLU,TRBC1
27,CFD,CRABP2,CCL3L3,MT1E,SRGN
28,TIMP1,S100P,CXCL10,PDLIM3,IL2RG
29,FBLN1,RP11-206M11.7,RNASE1,SFN,RAC2
